truth_x,truth_y,truth_z,truth_vx,truth_vy,truth_vz,truth_roll,truth_pitch,truth_yaw,f_mode,armed,time_ms,imu_seq,cont_seq,log_seq,dt,imu_dt,hal_dt,rc_thr,rc_roll,rc_pitch,rc_yaw,t_roll,t_pitch,t_yaw,g_roll,g_pitch,g_yaw,g_mag,a_roll,a_pitch,cor_roll,cor_pitch,err_roll,err_pitch,est_roll,est_pitch,est_yaw,gyr_b_x,gyr_b_y,gyr_b_z,accel_m,accel_w,ahrs_v,c_roll,c_pitch,c_yaw,m1,m2,m3,m4
0,-0,0.055,0,0,0,0,0,-0,0,1,34200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.005,0.0019,-0.0092,0.0107,-0.0385,-0.0758,0,0,0,0,-0.0053,0.0067,0.013,0,0,0,9.751,0.9544,1,0.0001,-0,0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,34400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0171,0.0085,0.0143,0.0239,-0.0579,-0.0804,0,0,0,0,-0.0059,0.007,0.013,0,0,0,9.7601,0.9629,1,0.0003,-0.0001,-0.0002,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,34600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0035,-0.0036,0.0031,0.0059,-0.0658,-0.0673,0,0,0,0,-0.0056,0.0072,0.0128,0,0,0,9.778,0.9777,1,-0.0001,0.0001,-0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,34800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.007,0.0017,-0.0024,0.0076,-0.0457,-0.0539,0,0,0,0,-0.0057,0.0066,0.0127,0,0,0,9.7461,0.9547,1,-0.0001,-0,0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,35000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0091,-0.0057,-0.0017,0.0109,-0.0504,-0.0617,0,0,0,0,-0.0063,0.0057,0.0123,0,0,0,9.7657,0.9711,1,-0.0001,0.0001,0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,35200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0073,-0.0062,-0.0058,0.0112,-0.0631,-0.082,0,0,0,0,-0.0068,0.0061,0.0123,0,0,0,9.7693,0.9712,1,-0.0001,0.0001,0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,35400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0002,0.0044,0.0038,0.0058,-0.0557,-0.0665,0,0,0,0,-0.0056,0.0059,0.0131,0,0,0,9.7852,0.9828,1,-0,-0.0001,-0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,35600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0158,-0.0033,0.0051,0.017,-0.0651,-0.036,0,0,0,0,-0.0053,0.0059,0.013,0,0,0,9.8061,0.9956,1,-0.0003,0.0001,-0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,35800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0159,0.0215,0.011,0.0289,-0.0806,-0.0525,0,0,0,0,-0.0051,0.0063,0.0124,0,0,0,9.7806,0.978,1,0.0003,-0.0003,-0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,36000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0025,-0.0091,-0.0012,0.0095,-0.0515,-0.072,0,0,0,0,-0.0054,0.0067,0.0127,0,0,0,9.7403,0.9496,1,0,0.0001,0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,36200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0002,0.0004,-0.0093,0.0093,-0.0729,-0.0636,0,0,0,0,-0.0059,0.007,0.0125,0,0,0,9.762,0.968,1,0,-0,0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,36400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0064,-0.0037,0.0038,0.0083,-0.043,-0.0501,0,0,0,0,-0.006,0.0074,0.0118,0,0,0,9.7549,0.9581,1,0.0001,0.0001,-0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,36600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0026,0.0049,-0.0085,0.0101,-0.0497,-0.0689,0,0,0,0,-0.0065,0.0078,0.0114,0,0,0,9.7908,0.9832,1,-0,-0.0001,0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,36800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0015,-0.0012,-0.0102,0.0104,-0.0389,-0.0708,0,0,0,0,-0.0069,0.0076,0.012,0,0,0,9.7398,0.9471,1,0,0,0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,37000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0089,0.0042,-0.0058,0.0114,-0.0516,-0.0872,0,0,0,0,-0.0062,0.0069,0.012,0,0,0,9.7265,0.9388,1,-0.0001,-0.0001,0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,37200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0006,-0.0084,0.0038,0.0092,-0.0491,-0.0656,0,0,0,0,-0.0062,0.0068,0.0122,0,0,0,9.7632,0.9666,1,-0,0.0001,-0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,37400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0146,0.0045,0.0051,0.0162,-0.0351,-0.0622,0,0,0,0,-0.0061,0.0067,0.0125,0,0,0,9.7499,0.9549,1,0.0002,-0.0001,-0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,37600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0036,-0.0152,0.0044,0.0162,-0.0648,-0.0769,0,0,0,0,-0.0066,0.006,0.0126,0,0,0,9.772,0.9736,1,0.0001,0.0002,-0.0001,0.06,0.06,0.06,0.06
